title,name,location,time,verified,review,aircraft_model,type_of_traveller,seat_type,route,date_flown,rating,seat_comfort_rating,cabin_staff_service_rating,food_and_beverage_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommended
"""will be forever grateful""",J McLean,Australia,2025-10-09,Trip Verified,"On the day of our flight from Athens there was a public transport strike and we had great difficulty getting to the airport. After receiving a call from Qatar ground staff at Athens airport enquiring where we were, as bag drop was about to close, we explained our situation and quickly received instructions on who to see upon our late arrival at the airport. Qatar staff fast tracked our check in and then escorted us quickly through security and immigration so that we just made the flight. Cannot imagine another airline would go to the lengths Qatar staff did to help us and will be forever grateful in such a stressful situation.",,Couple Leisure,Economy Class,Athens to Doha,October 2025,10,5.0,5.0,5.0,5.0,5.0,5,
"""IFE did not work""",Michael Schade,Germany,2025-10-08,Trip Verified,,Boeing 787-9,Solo Leisure,Business Class,Doha to Munich,September 2025,5,4.0,5.0,4.0,1.0,5.0,2,
"""an exceptional experience""",Zainab Alhaddawi,Canada,2025-10-06,Trip Verified,"Munich to Doha, an exceptional experience from start to finish. The cabin crew were professional, attentive, and genuinely welcoming. The seat comfort, inflight dining, and entertainment were all outstanding—true to Qatar Airways’ five-star reputation. The flight was punctual and smooth, making the journey both relaxing and enjoyable. Highly recommended.",,Couple Leisure,Economy Class,Munich to Doha,October 2025,10,5.0,5.0,5.0,5.0,5.0,5,
"""I requested this to be refunded""",D Leare,Australia,2025-10-06,Trip Verified,"We had a flight cancelled which resulted in us spending hours trying to reschedule a new flight, not to mention the extra costs involved with additional accommodation and connecting transport changes. On the morning we were due to fly, we did not receive any notification that the flight had been cancelled and I discovered the cancellation through the app. After arriving home from our trip, I emailed in regards to the extra costs we incurred and as we had paid for seat selection (which we didn't receive) I requested this to be refunded. It is now 10 weeks later, 6 emails later and still no reply whatsoever from Qatar. Their customer service is non existent.",,Couple Leisure,Business Class,Rome to Singapore via Doha ,July 2025,1,2.0,3.0,,,1.0,1,no
"""a bus ride from the terminal""",Alwaleed Althani,Qatar,2025-09-30,Trip Verified,"The flight is in September which is still pretty hot in Qatar and it was a late morning departure, the plane was parked a bus ride from the terminal, the bus ride was hot. The plane was a very old ex Oman Air A330-300 and was showing it’s age, the toilets were tiny and nowhere near the quality of Qatar Airways A320s. I will continue to use Qatar Airways as I know their standards but on this route I will stick to RJ. I am a Platinum Member on since 2017 I was not recognized and overlooked this staff needs a lot more experience. Alsafwa lounge at Doha is the best lounge I have seen the spa has an amazing reflexology massage service.",A333,Solo Leisure,First Class,Doha to Amman,September 2025,6,2.0,3.0,3.0,,5.0,4,
"extremely professional, kind, and caring",Erkul Kavalci,United Kingdom,2025-09-24,Trip Verified,,,Solo Leisure,Economy Class,Jeddah to Doha,September 2025,10,5.0,5.0,5.0,5.0,5.0,5,
quality of wine reduced0,S Malsche ,Thailand,2025-09-23,Trip Verified,,Boeing 787-9,Business,Business Class,Frankfurt to Bangkok via Doha,September 2025,5,4.0,5.0,2.0,3.0,5.0,2,
a truly world class airline,H Foster,Zambia,2025-09-18,Trip Verified,,"Boeing 787, A350",Solo Leisure,Economy Class,London Heathrow to Lusaka via Doha,August 2025,10,5.0,5.0,5.0,5.0,5.0,5,
Service efficient and friendly,Michael Schade,Germany,2025-09-14,Trip Verified,,Boeing 787-9,Solo Leisure,Business Class,Doha to Frankfurt,September 2025,8,5.0,5.0,4.0,3.0,3.0,3,
"""Mini Qsuite very private and comfortable""",Michael Schade,Germany,2025-09-13,Trip Verified,"Check in fast and friendly, contract Miracle lounge with poor breakfast offerings. Boarding rather unorganised. Mini Qsuite on the 789 very private and comfortable. Service friendly and efficient. WiFi did not work. My food was not very tasty and poor in presentation. The usually top notch Thai dessert ex BKK was coconut ice-cream (with lots of ice crystals) and two half bananas. Connecting gates system through the entertainment system did not work. Arrived on time. Overall an ok flight with poor quality lounge and on board food.",Boeing 787-9,Solo Leisure,Business Class,Bangkok to Doha,September 2025,5,4.0,5.0,2.0,3.0,4.0,2,
"""seats have been reassigned""",Romana Malik,United States,2025-09-07,Trip Verified,,,Family Leisure,Economy Class,Doha to Boston ,September 2025,8,5.0,5.0,5.0,5.0,5.0,4,
"""fantastic and extremely comfortable""",J Raiz,United Kingdom,2025-09-02,Trip Verified,"Initially, I was supposed to be traveling with Qatar Airways' partner, but due to unfortunate circumstances, I was rebooked to an earlier trip the next day with inconvenience compensation. Qatar Airways' service has always been exceptional! I have been a loyal client. The flight I took on 31/8/25 was fantastic and extremely comfortable. Thanks to Vanessa, the flight attendant who attended me while on the trip.",,Solo Leisure,Business Class,Doha to London,August 2025,10,5.0,5.0,5.0,5.0,5.0,3,
"""I will remain a loyal customer""",Iman Yusuf,Austria,2025-09-01,Trip Verified,"I want to sincerely thank Qatar Airways for their incredible kindness during a very difficult moment. While checking in at Jeddah Airport, I couldn’t afford the extra baggage fees. The supervisor and assistant at the counter showed me compassion I’ll never forget — they allowed me the extra baggage allowance without charging me anything.  This experience showed me that Qatar Airways is not only a world-class airline but also one that truly cares about its passengers beyond business. Because of this, I will remain a loyal customer.",,Solo Leisure,Economy Class,Jeddah to Munich via Doha,August 2025,10,5.0,5.0,5.0,5.0,5.0,5,
"""I was more than impressed """,Ronald Zwart,New Zealand,2025-08-26,Not Verified,,A380,Couple Leisure,Business Class,Sydney to Doha,June 2025,10,4.0,5.0,5.0,5.0,5.0,5,
the aircraft was swapped,Dmitriy Berezin,United Arab Emirates,2025-08-21,Trip Verified,,,Business,Business Class,Sharjah to Moscow via Doha,May 2025,4,,,,,,2,no
causing me to miss my flight,Jarryd Domingo,South Africa,2025-08-19,Trip Verified,,,Solo Leisure,Economy Class,Johannesburg to Vienna,August 2025,1,,,,,1.0,1,no
"""an experience that borders on First""",Rajan Parrikar,Iceland,2025-08-18,Trip Verified,"Doha to Copenhagen in Business Class. There is a reason Qatar Airways remains at the top: exceptional comfort in both hard and soft product. This aircraft did not feature the storied Qsuite but the older configuration, which is still among the best in the sky. Service was warm, polished, and attentive. The WiFi was patchy, though with Starlink integration on the horizon one hopes this will soon be resolved. In sum, no airline delivers greater comfort in Business Class. Qatar offers an experience that borders on First.",Boeing 787-8,Solo Leisure,Business Class,Doha to Copenhagen,August 2025,10,5.0,5.0,4.0,,4.0,4,
"""on-board service impeccable""",P Jannir,Iceland,2025-08-18,Trip Verified,"Goa (Mopa airport) to Doha in Business Class A flawless flight. Boarding was smooth and the on-board service impeccable. This aircraft did not feature the celebrated Qsuite, but the Business Class configuration was still extremely comfortable. My only quibble: the paid WiFi was virtually unusable, dropping out with frustrating regularity.",Boeing 787-8,Solo Leisure,Business Class,Goa to Doha,August 2025,10,5.0,5.0,4.0,,4.0,4,
"""cabin temperature was freezing""",S Marulc,Poland,2025-08-10,Trip Verified,,"Boeing 777-200, / A330-200",Family Leisure,Economy Class,Warsaw to Seychelles via Doha,August 2025,5,3.0,5.0,5.0,4.0,5.0,3,no
"""an outstanding experience""",Bhathiya Alagoda,Sri Lanka,2025-08-04,Trip Verified,,Boeing 787 /  777-300,Family Leisure,Economy Class,Colombo to London via Doha,August 2025,10,5.0,5.0,5.0,5.0,3.0,5,
"""inflight entertainment wasn't working""",Roger Langdon,South Africa,2025-07-28,Not Verified,"Cape Town to Doha my inflight entertainment wasn't working, I could use free wifi. My return flight from Doha to Cape Town it was not working again. After a long layover in Doha fron Bangkok I wasn't in the mood to be on my phone so nothing to watch. After asking the crew twice to check, no inflight entertainment. Bad!!",,Family Leisure,Economy Class,Bangkok to Cape Town via Doha,July 2025,3,5.0,4.0,4.0,1.0,4.0,3,
"""best airline I’ve experienced""",S Bareno,Peru,2025-07-26,Trip Verified,"This is the best airline I’ve experienced as economy class, and I love the wide range of options of entertainment. Even though we had medium space for legs, they give you a bag on long distance flights) with compression socks, shades for your eyes, ear plugs and a toothbrush /  toothpaste. That kind of hospitality definitely makes them deserve 9th titled best airline!  The ground staff also organized the groups punctually and kindly. Free WiFi!",Boeing,Solo Leisure,Economy Class,Tokyo to Madrid via Lima,July 2025,10,3.0,5.0,5.0,5.0,5.0,5,
"""nothing short of exceptional""",D Hergud,United Kingdom,2025-07-21,Trip Verified,"Flying Business Class with Qatar Airways was nothing short of exceptional. From the moment I boarded, I was impressed by the attention to detail and the warm welcome from the cabin crew. They were genuinely helpful, attentive without being intrusive, and went out of their way to ensure I was comfortable throughout the flight. What really made the experience memorable was the professionalism and kindness of the crew. Whether it was offering assistance with the seat settings, adjusting lighting, or just checking in regularly with a smile, their service felt personal and sincere. Qatar airways has been my regular airline whenever I fly.",Boeing 787-8,Solo Leisure,Business Class,Doha to Birmingham,June 2025,10,5.0,5.0,5.0,5.0,5.0,5,
very disappointed in the qualty of service,Ash Hogan,Australia,2025-07-18,Not Verified,,Boeing 777,Family Leisure,Economy Class,Melbourne to Venice via Athens,July 2025,1,1.0,1.0,1.0,1.0,1.0,1,no
"""forgotten how good it can be""",E Michaels,United Kingdom,2025-07-16,Trip Verified,,Boeing 777,Business,Business Class,London to Doha,July 2025,9,5.0,5.0,5.0,5.0,5.0,5,
"""comfort, service, and efficiency""",N Pardele,France,2025-07-07,Trip Verified,"My journey on flight QR039 from Doha to Paris was a perfect blend of comfort, service, and efficiency. The check-in process at Hamad International Airport was smooth and well-organized. Friendly staff assisted with swift baggage drop and clear instructions. Boarding was timely and stress-free, with dedicated lanes for different classes and priority passengers. The aircraft was modern and immaculately clean. The seats offered excellent legroom and ergonomics, even in Economy. Adjustable headrests, a plush seat cushion, and a thoughtfully designed tray table added to the in-flight ease. The in-flight meals were restaurant-quality.  Drinks were served frequently and with a smile, and special meal requests were handled flawlessly.  Qatar’s Oryx One system remains one of the best. It had a wide range of new-release movies, documentaries, music, and games. The touch screen was responsive, and the interface was easy to navigate. Onboard Wi-Fi was available and worked well for light browsing and messaging. The cabin crew on QR039 were attentive and professional. From helping with bags to offering water before being asked, their service was personal and polished. The flight departed on time and landed at Paris Charles de Gaulle smoothly. Disembarkation was quick, and baggage arrived without delay, rounding off a flawless travel experience.",,Solo Leisure,Economy Class,Kathmandu to Paris via Doha,July 2025,10,5.0,5.0,5.0,5.0,5.0,5,
